"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1991-05","May-1991","PC","Percentage","0","Units",,,11.86,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1991-06","Jun-1991","PC","Percentage","0","Units",,,11.92,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1991-07","Jul-1991","PC","Percentage","0","Units",,,12.15,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1991-08","Aug-1991","PC","Percentage","0","Units",,,12.09,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1991-09","Sep-1991","PC","Percentage","0","Units",,,11.58,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1991-10","Oct-1991","PC","Percentage","0","Units",,,11.62,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1991-11","Nov-1991","PC","Percentage","0","Units",,,11.4572,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1991-12","Dec-1991","PC","Percentage","0","Units",,,11.31941,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1992-01","Jan-1992","PC","Percentage","0","Units",,,10.92656,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1992-02","Feb-1992","PC","Percentage","0","Units",,,10.79221,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1992-03","Mar-1992","PC","Percentage","0","Units",,,10.79619,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1992-04","Apr-1992","PC","Percentage","0","Units",,,10.8713,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1992-05","May-1992","PC","Percentage","0","Units",,,10.84674,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1992-06","Jun-1992","PC","Percentage","0","Units",,,11.34077,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1992-07","Jul-1992","PC","Percentage","0","Units",,,11.82743,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1992-08","Aug-1992","PC","Percentage","0","Units",,,12.22281,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1992-09","Sep-1992","PC","Percentage","0","Units",,,12.64555,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1992-10","Oct-1992","PC","Percentage","0","Units",,,12.99948,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1992-11","Nov-1992","PC","Percentage","0","Units",,,12.54045,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1992-12","Dec-1992","PC","Percentage","0","Units",,,12.5328,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1993-01","Jan-1993","PC","Percentage","0","Units",,,12.15458,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1993-02","Feb-1993","PC","Percentage","0","Units",,,11.43145,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1993-03","Mar-1993","PC","Percentage","0","Units",,,11.34991,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1993-04","Apr-1993","PC","Percentage","0","Units",,,11.4856,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1993-05","May-1993","PC","Percentage","0","Units",,,11.21762,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1993-06","Jun-1993","PC","Percentage","0","Units",,,10.56741,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1993-07","Jul-1993","PC","Percentage","0","Units",,,10.219,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1993-08","Aug-1993","PC","Percentage","0","Units",,,9.481381,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1993-09","Sep-1993","PC","Percentage","0","Units",,,9.093273,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1993-10","Oct-1993","PC","Percentage","0","Units",,,8.6876,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1993-11","Nov-1993","PC","Percentage","0","Units",,,8.56105,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1993-12","Dec-1993","PC","Percentage","0","Units",,,8.280666,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1994-01","Jan-1994","PC","Percentage","0","Units",,,7.98565,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1994-02","Feb-1994","PC","Percentage","0","Units",,,8.081,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1994-03","Mar-1994","PC","Percentage","0","Units",,,8.827409,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1994-04","Apr-1994","PC","Percentage","0","Units",,,9.0593,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1994-05","May-1994","PC","Percentage","0","Units",,,9.548238,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1994-06","Jun-1994","PC","Percentage","0","Units",,,10.28341,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1994-07","Jul-1994","PC","Percentage","0","Units",,,10.58835,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1994-08","Aug-1994","PC","Percentage","0","Units",,,10.678,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1994-09","Sep-1994","PC","Percentage","0","Units",,,11.22157,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1994-10","Oct-1994","PC","Percentage","0","Units",,,11.13525,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1994-11","Nov-1994","PC","Percentage","0","Units",,,11.18495,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1994-12","Dec-1994","PC","Percentage","0","Units",,,11.38037,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1995-01","Jan-1995","PC","Percentage","0","Units",,,11.86224,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1995-02","Feb-1995","PC","Percentage","0","Units",,,11.59595,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1995-03","Mar-1995","PC","Percentage","0","Units",,,12.26091,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1995-04","Apr-1995","PC","Percentage","0","Units",,,12.09161,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1995-05","May-1995","PC","Percentage","0","Units",,,11.4114,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1995-06","Jun-1995","PC","Percentage","0","Units",,,11.53759,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1995-07","Jul-1995","PC","Percentage","0","Units",,,11.334,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1995-08","Aug-1995","PC","Percentage","0","Units",,,10.97105,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1995-09","Sep-1995","PC","Percentage","0","Units",,,10.80257,,
"IRLT","Long-term interest rates, Per cent per annum","ESP","Spain","M","Monthly","1995-10","Oct-1995","PC","Percentage","0","Units",,,10.89333,,
