"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","M","Monthly","2017-05","May-2017","PC","Percentage","0","Units",,,3.1,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","M","Monthly","2017-06","Jun-2017","PC","Percentage","0","Units",,,2.99,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","M","Monthly","2017-07","Jul-2017","PC","Percentage","0","Units",,,3.1,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","M","Monthly","2017-08","Aug-2017","PC","Percentage","0","Units",,,3.05,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","M","Monthly","2017-09","Sep-2017","PC","Percentage","0","Units",,,2.76,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","M","Monthly","2017-10","Oct-2017","PC","Percentage","0","Units",,,2.57,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","M","Monthly","2017-11","Nov-2017","PC","Percentage","0","Units",,,2.23,,
"IRLT","Long-term interest rates, Per cent per annum","HUN","Hungary","M","Monthly","2017-12","Dec-2017","PC","Percentage","0","Units",,,2.07,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","A","Annual","2017","2017","PC","Percentage","0","Units",,,4.858333,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","M","Monthly","2017-01","Jan-2017","PC","Percentage","0","Units",,,5.21,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","M","Monthly","2017-02","Feb-2017","PC","Percentage","0","Units",,,4.91,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","M","Monthly","2017-03","Mar-2017","PC","Percentage","0","Units",,,4.87,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","M","Monthly","2017-04","Apr-2017","PC","Percentage","0","Units",,,4.89,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","M","Monthly","2017-05","May-2017","PC","Percentage","0","Units",,,4.65,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","M","Monthly","2017-06","Jun-2017","PC","Percentage","0","Units",,,4.63,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","M","Monthly","2017-07","Jul-2017","PC","Percentage","0","Units",,,4.74,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","M","Monthly","2017-08","Aug-2017","PC","Percentage","0","Units",,,4.88,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","M","Monthly","2017-09","Sep-2017","PC","Percentage","0","Units",,,5.14,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","M","Monthly","2017-10","Oct-2017","PC","Percentage","0","Units",,,4.83,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","M","Monthly","2017-11","Nov-2017","PC","Percentage","0","Units",,,4.7,,
"IRLT","Long-term interest rates, Per cent per annum","ISL","Iceland","M","Monthly","2017-12","Dec-2017","PC","Percentage","0","Units",,,4.85,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","A","Annual","2017","2017","PC","Percentage","0","Units",,,0.7925,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","M","Monthly","2017-01","Jan-2017","PC","Percentage","0","Units",,,1.16,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","M","Monthly","2017-02","Feb-2017","PC","Percentage","0","Units",,,0.88,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","M","Monthly","2017-03","Mar-2017","PC","Percentage","0","Units",,,0.98,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","M","Monthly","2017-04","Apr-2017","PC","Percentage","0","Units",,,0.84,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","M","Monthly","2017-05","May-2017","PC","Percentage","0","Units",,,0.76,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","M","Monthly","2017-06","Jun-2017","PC","Percentage","0","Units",,,0.86,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","M","Monthly","2017-07","Jul-2017","PC","Percentage","0","Units",,,0.83,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","M","Monthly","2017-08","Aug-2017","PC","Percentage","0","Units",,,0.67,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","M","Monthly","2017-09","Sep-2017","PC","Percentage","0","Units",,,0.72,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","M","Monthly","2017-10","Oct-2017","PC","Percentage","0","Units",,,0.57,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","M","Monthly","2017-11","Nov-2017","PC","Percentage","0","Units",,,0.58,,
"IRLT","Long-term interest rates, Per cent per annum","IRL","Ireland","M","Monthly","2017-12","Dec-2017","PC","Percentage","0","Units",,,0.66,,
"IRLT","Long-term interest rates, Per cent per annum","ITA","Italy","A","Annual","2017","2017","PC","Percentage","0","Units",,,2.112925,,
"IRLT","Long-term interest rates, Per cent per annum","ITA","Italy","M","Monthly","2017-01","Jan-2017","PC","Percentage","0","Units",,,1.9911,,
"IRLT","Long-term interest rates, Per cent per annum","ITA","Italy","M","Monthly","2017-02","Feb-2017","PC","Percentage","0","Units",,,2.352,,
"IRLT","Long-term interest rates, Per cent per annum","ITA","Italy","M","Monthly","2017-03","Mar-2017","PC","Percentage","0","Units",,,2.401,,
"IRLT","Long-term interest rates, Per cent per annum","ITA","Italy","M","Monthly","2017-04","Apr-2017","PC","Percentage","0","Units",,,2.257,,
"IRLT","Long-term interest rates, Per cent per annum","ITA","Italy","M","Monthly","2017-05","May-2017","PC","Percentage","0","Units",,,2.194,,
"IRLT","Long-term interest rates, Per cent per annum","ITA","Italy","M","Monthly","2017-06","Jun-2017","PC","Percentage","0","Units",,,2.053,,
"IRLT","Long-term interest rates, Per cent per annum","ITA","Italy","M","Monthly","2017-07","Jul-2017","PC","Percentage","0","Units",,,2.231,,
"IRLT","Long-term interest rates, Per cent per annum","ITA","Italy","M","Monthly","2017-08","Aug-2017","PC","Percentage","0","Units",,,2.1099,,
